section_id,s_node,e_node,length
0,2972,2973,0.775608379
1,2973,2971,0.684845099
2,2971,3083,18.730938
3,3083,77541,11.49767624
4,77541,69118,4.014778326
5,63,68292,1.792726826
6,68292,8217,2.381161401
7,8217,30541,0.855246667
8,30541,68290,0.845970683
9,68290,64,0.637350089
10,64,1363,9.975429558
11,1363,72506,3.473791363
12,72506,1499,4.254132314
13,745,29057,2.458965077
14,29057,29065,2.225398975
15,29065,29058,1.269881399
16,29058,29062,1.253146806
17,29062,29069,1.621390678
18,29069,29055,1.923364495
19,29055,29063,1.913507822
20,29063,54422,0.861478677
21,54422,1283,1.010108364
22,326,1895,10.54728708
23,2477,2496,0.638350513
24,2496,80546,4.26957445
25,80546,25174,0.306126163
26,25174,10000,3.578062416
27,10000,80547,3.32025663
28,80547,70004,0.665095295
29,70004,25169,0.937364185
30,25169,2504,4.126259723
31,2504,25161,5.568102638
32,25161,25129,2.469792356
33,25129,328,3.718550136
34,328,25162,4.765410728
35,25162,329,7.677440739
36,329,25120,2.90403434
37,25120,25115,1.027982446
38,25115,330,2.217245052
39,330,25113,1.670845556
40,25113,25119,3.871417388
41,25119,326,3.424391429
42,16598,16601,1.742443801
43,16601,30678,5.417509
44,30678,7230,3.982896809
45,7230,342,0.898739559
46,342,69278,1.564875977
47,69278,30701,1.781624955
48,30701,2225,3.89954022
49,2225,69173,2.298681368
50,69173,79711,1.970583733
51,79711,2224,3.598688189
52,2224,2226,0.98295929
53,2226,335,1.010624614
54,335,54143,0.537041941
55,54143,334,0.548118566
56,334,333,0.965286209
57,333,332,1.043833086
58,332,30348,0.073619125
59,30348,331,2.287489702
60,1500,1373,0.933499121
61,1373,68639,1.195270263
62,68639,7793,4.314887082
63,7793,2447,8.28239079
64,2447,66611,1.188337321
65,66611,69204,0.674987641
66,69204,2448,6.024621788
67,2448,69202,0.358832986
68,69202,70931,1.646697203
69,70931,9930,4.469211831
70,9930,2507,4.838581341
71,350,7226,0.655621239
72,7226,351,0.651951754
73,351,352,0.634163308
74,352,353,0.589407974
75,353,51548,0.565635031
76,51548,354,0.553022902
77,354,355,0.102607102
78,355,30722,0.879020834
79,30722,368,0.671524185
80,368,30718,0.742466205
81,30718,369,0.866719867
82,369,50376,1.17475084
83,50376,30710,2.402790738
84,30708,38192,0.932834232
85,38192,29085,1.70157457
86,29085,374,1.909504938
87,374,375,1.283941385
88,375,376,5.455601999
89,376,377,4.223640242
90,377,378,5.463792189
91,1953,33818,9.852434733
92,33818,33801,5.42061229
93,33801,33806,9.167380155
94,33806,1954,7.027983193
95,1954,3594,1.449422536
96,11392,13035,5.673602191
97,13035,8894,7.501766455
98,8894,70945,3.387004934
99,70945,8895,6.992881664
100,8895,11394,6.177001408
101,11394,11395,2.179900512
102,11395,13927,5.719594853
103,15579,15580,2.102152259
104,15580,15581,3.113533664
105,15581,15582,6.308081445
106,15582,15583,5.125406453
107,15583,15584,4.679167377
108,15584,15585,12.33505953
109,561,560,13.25295972
110,560,559,7.449451715
111,559,29211,1.41433934
112,29211,47157,6.387286907
113,47157,402,2.05252261
114,116,117,25.05579322
115,117,647,3.661615511
116,115,33560,13.06023283
117,33560,116,35.43044764
118,75,70482,27.01474603
119,70482,56638,31.96532575
120,56638,76,13.80875163
121,76,33555,6.585044196
122,33555,77,3.55946252
123,77,33571,3.49883821
124,33571,33580,3.786338559
125,33580,78,2.150260926
126,78,79,5.166775905
127,79,33558,1.789187892
128,33558,33585,1.931427165
129,33585,33567,3.673374403
130,33567,80,1.409479155
131,80,33572,10.42965055
132,33572,81,2.407334566
133,81,33569,2.724228211
134,33569,33565,2.671488407
135,33565,82,3.772360774
136,82,6226,6.169782461
137,6226,33566,11.58357039
138,33566,83,1.721780974
139,83,33591,6.710964598
140,33591,33574,1.440726371
141,33574,33562,2.991560512
142,33562,84,9.010278642
143,84,33617,4.054947125
144,10262,46156,0.688669481
145,46156,5166,0.678524611
146,5166,69922,8.243223328
147,69922,48035,1.560950999
148,48035,77508,4.625639546
149,77508,62056,9.278126513
150,51288,656,0.913123226
151,656,1545,0.592924841
152,1545,657,19.47232127
153,657,2145,8.934665395
154,2145,767,0.332984795
