node,lng,lat
0,121.5705739,31.2419156
1,121.5688868,31.2411282
2,121.5642748,31.239005
3,121.5642201,31.2385793
4,121.5201276,31.2824849
5,121.5182813,31.2866495
6,121.5181674,31.2866864
7,121.5199374,31.2826722
8,121.5737331,31.2431793
9,121.5638793,31.2516448
10,121.5778262,31.2365362
11,121.5494713,31.2225932
12,121.5875079,31.2364775
13,121.5663895,31.2290219
14,121.5629815,31.2069993
15,121.5595841,31.2060233
16,121.5584805,31.2058992
17,121.5553016,31.2059407
18,121.5504301,31.2053353
19,121.5485295,31.2045906
20,121.5463315,31.2034608
21,121.5394664,31.200124
22,121.5390271,31.1999788
23,121.5367757,31.1995064
24,121.5346251,31.1992737
25,121.5330713,31.1992586
26,121.531413,31.1993191
27,121.5637134,31.2078369
28,121.5623997,31.2072362
29,121.5594961,31.2062826
30,121.5588697,31.206199
31,121.555124,31.2061031
32,121.5501038,31.2056715
33,121.5459275,31.2037804
34,121.5398014,31.2007191
35,121.5387083,31.2003836
36,121.5363863,31.1998222
37,121.5341914,31.1996205
38,121.5325169,31.1996373
39,121.5310262,31.1998768
40,121.5641101,31.2075175
41,121.5777053,31.2366063
42,121.5795391,31.2327785
43,121.5790663,31.2338083
44,121.5779464,31.24091
45,121.5758727,31.2401264
46,121.5674755,31.2486081
47,121.5605968,31.2447252
48,121.5600759,31.2442212
49,121.5582442,31.242889
50,121.5572562,31.2423777
51,121.553898,31.2406422
52,121.5477072,31.2378006
53,121.5451809,31.2368489
54,121.535664,31.2332507
55,121.533987,31.2322513
56,121.5314549,31.2308724
57,121.5262849,31.2292501
58,121.5257409,31.229363
59,121.5251102,31.2295486
60,121.513761,31.2342752
61,121.5310691,31.2259637
62,121.5339249,31.224323
63,121.5347772,31.224525
64,121.5356611,31.2250621
65,121.5388761,31.227248
66,121.5407034,31.2282646
67,121.5409158,31.2283546
68,121.5473736,31.2305995
69,121.559383,31.2363932
70,121.5656229,31.2397195
71,121.5595082,31.2431448
72,121.5538623,31.2488444
73,121.5526263,31.2498424
74,121.551665,31.2504587
75,121.5469992,31.2528851
76,121.5379065,31.2599312
77,121.5366682,31.2609476
78,121.5356109,31.2619931
79,121.5350931,31.2626211
80,121.534333,31.2637776
81,121.5333144,31.2655201
82,121.5324561,31.2666792
83,121.5306303,31.2691413
84,121.5287632,31.2717033
85,121.527729,31.2733224
86,121.5273073,31.2739532
87,121.526721,31.2747411
88,121.5262851,31.275234
89,121.5257363,31.2757863
90,121.5254031,31.276088
91,121.5230478,31.2780229
92,121.522378,31.2785876
93,121.5218744,31.2791012
94,121.5215183,31.2795436
95,121.5211398,31.2802157
96,121.5202581,31.2821774
97,121.521039,31.2802112
98,121.5214354,31.2795025
99,121.5218217,31.2790184
100,121.522256,31.2785819
101,121.5257441,31.2756733
102,121.5263388,31.2750633
103,121.5271839,31.2739924
104,121.5277071,31.2732201
105,121.528664,31.2716715
106,121.5294428,31.2705249
107,121.5323582,31.2666538
108,121.533191,31.2655088
109,121.5339895,31.264138
110,121.5343222,31.263572
111,121.5347012,31.2629683
112,121.5352497,31.2622555
113,121.5358292,31.2615876
114,121.5366163,31.2608573
115,121.5377465,31.2599474
116,121.543751,31.255189
117,121.5469035,31.2527906
118,121.5516135,31.2503101
119,121.5525576,31.2497011
120,121.553064,31.2493122
121,121.5537421,31.2487765
