Traj_id,Time_list
0,"[1470035164,1470037663.0,1470038190,1470038207,1470038258,1470038260,1470038271.0,1470038413,1470038433,1470038443,1470038467]"
1,"[1470036866,1470036960,1470037308,1470037318,1470037328,1470037694.0,1470037717,1470037727,1470037737,1470037747,1470037807,1470038044]"
2,"[1470037297.0,1470037682,1470037832,1470037842,1470037852,1470038047.0,1470038121,1470038181,1470038191,1470038201,1470038207]"
3,"[1470036877,1470036902,1470036942.0,1470037632,1470038302,1470038312,1470038342,1470038352,1470038372,1470038392]"
4,"[1470036912.0,1470036939,1470036969,1470037299,1470037319,1470037329,1470037459,1470037602,1470037652,1470037662,1470037691,1470037708,1470037711,1470037741,1470037907]"
5,"[1470035104,1470035114,1470035124,1470035144,1470035148,1470035168,1470035529,1470035957,1470035962,1470036623,1470036751,1470036761]"
6,"[1470037272,1470037282,1470037291,1470037314,1470037321,1470037331,1470037653,1470038323,1470038343,1470038443]"
7,"[1470037246,1470037256,1470037657,1470037677,1470037685,1470038311,1470038361,1470038375,1470038378.5,1470038394.0,1470038409]"
8,"[1470037246,1470037269,1470037278,1470037287,1470037636,1470037646,1470038070,1470038073,1470038083,1470038133,1470038153,1470038173,1470038437.5,1470038439,1470038440]"
9,"[1470036881,1470036911,1470036921,1470036951.0,1470036964.5,1470037275.0,1470037327,1470037332,1470037636,1470037646,1470038186,1470038188,1470038191,1470038199,1470038206,1470038214]"
10,"[1470036967,1470037330,1470037637,1470037663,1470038237,1470038261,1470038271,1470038281,1470038287,1470038428]"
11,"[1470036876.8,1470036932,1470037302,1470037322,1470037633,1470037653,1470037662,1470038308,1470038418,1470038430.5,1470038433,1470038437,1470038447]"
12,"[1470036890,1470036894,1470036898,1470036902,1470037294,1470037334,1470037336,1470037415,1470037445,1470037595,1470038074.0,1470038084,1470038134,1470038321]"
13,"[1470036854,1470036933.125,1470037301,1470037321,1470037331,1470037633,1470037645,1470037675,1470038295,1470038305,1470038397.5,1470038465]"
14,"[1470036865,1470036887,1470036903,1470036966,1470037278.5,1470037289,1470037462.0,1470037471,1470038024,1470038132.0]"
15,"[1470037219,1470037259,1470037288,1470037307,1470037600,1470037610,1470037620,1470037640,1470038318,1470038338,1470038430,1470038440]"
16,"[1470036863,1470036963,1470037306,1470037645,1470037656,1470037666,1470037676,1470038315,1470038345,1470038365,1470038405]"
